Student_ID,Age,Gender,Course,Income_Level,AI_Usage_Frequency,Preferred_AI_Tool,AI_Adoption
1,20,Male,BCA,High,Daily,ChatGPT,High
2,19,Female,BCA,Medium,Daily,ChatGPT,High
3,21,Male,BTech,High,Weekly,Gemini,High
4,20,Female,BCA,Low,Rarely,ChatGPT,Low
5,22,Male,BCA,Medium,Weekly,ChatGPT,Medium
6,19,Female,BTech,Medium,Daily,Gemini,High
7,21,Male,BCA,Low,Never,None,Low
8,20,Female,BCA,High,Daily,ChatGPT,High
9,22,Male,BTech,High,Daily,ChatGPT,High
10,19,Female,BCA,Low,Weekly,Gemini,Low
11,20,Male,BCA,Medium,Daily,ChatGPT,High
12,21,Female,BCA,High,Weekly,ChatGPT,High
13,19,Male,BTech,Low,Rarely,Gemini,Low
14,22,Female,BCA,Medium,Daily,ChatGPT,High
15,20,Male,BCA,High,Weekly,Gemini,High
16,21,Female,BTech,Low,Never,None,Low
17,19,Male,BCA,Medium,Weekly,ChatGPT,Medium
18,22,Female,BCA,High,Daily,ChatGPT,High
19,20,Male,BTech,Low,Rarely,Gemini,Low
20,21,Female,BCA,Medium,Daily,ChatGPT,High
21,20,Male,BCA,High,Daily,ChatGPT,High
22,19,Female,BTech,Low,Weekly,Gemini,Low
23,22,Male,BCA,Medium,Weekly,ChatGPT,Medium
24,21,Female,BCA,High,Daily,ChatGPT,High
25,20,Male,BTech,Medium,Daily,Gemini,High
26,19,Female,BCA,Low,Never,None,Low
27,22,Male,BCA,High,Daily,ChatGPT,High
28,20,Female,BTech,Medium,Weekly,Gemini,Medium
29,21,Male,BCA,Low,Rarely,ChatGPT,Low
30,19,Female,BCA,High,Daily,ChatGPT,High
