Age,YearsExperience,EducationLevel,ProjectsCompleted,WeeklyWorkingHours,PerformanceScore,Salary
59,29,3,35,44,6.0,320600
49,22,2,29,50,7.9,252174
35,11,3,17,40,7.3,137113
28,5,2,5,47,5.3,83356
41,11,3,21,57,4.3,144879
59,36,3,43,45,9.6,438080
39,10,2,14,47,5.3,116370
43,18,3,20,46,7.7,199690
31,8,2,4,36,9.1,85785
31,6,4,10,46,7.2,79181
44,22,2,28,45,6.2,225325
56,32,3,47,42,5.0,365698
60,30,3,50,39,5.0,337230
44,22,2,27,46,7.5,241466
23,1,2,5,38,9.0,53653
42,14,2,11,54,6.4,152022
22,1,3,10,44,6.2,58077
44,17,2,14,37,8.0,187348
50,25,3,16,40,6.0,259397
58,30,3,27,42,7.4,345150
22,1,2,8,55,7.1,63729
41,14,3,13,39,6.4,160786
53,28,2,30,42,7.0,322136
32,8,1,10,40,9.5,104690
42,15,3,13,45,7.8,163795
45,15,1,20,40,8.5,159118
47,25,2,26,37,5.7,253408
48,27,3,27,42,8.5,293215
36,15,2,20,42,7.9,173175
35,14,4,23,40,4.9,145636
23,0,4,3,40,7.8,66027
57,27,2,32,49,6.3,292629
27,0,1,4,41,4.8,68245
41,19,3,30,37,7.2,200863
29,0,2,3,41,7.8,45752
59,31,1,35,43,7.2,332728
38,14,3,11,36,6.8,135513
24,1,1,6,51,6.5,62716
45,15,3,20,47,10.0,161733
34,6,1,2,50,5.3,64037
29,7,1,17,45,8.2,103226
46,23,1,24,33,7.0,239360
22,0,4,4,51,5.8,31297
40,10,3,10,39,6.9,120030
48,27,3,19,39,5.0,283757
27,1,2,4,44,6.2,35367
28,6,2,2,50,6.9,69963
55,34,2,24,48,4.8,346359
34,12,2,18,48,7.7,158559
37,11,3,9,41,5.7,130245
56,32,3,42,41,5.0,349390
60,34,2,23,45,5.5,379747
24,0,4,4,42,10.0,47112
22,0,1,3,47,4.2,45528
26,0,4,1,47,7.6,41997
24,0,1,6,46,5.9,36490
49,28,2,29,30,6.5,291200
38,10,2,11,44,7.8,106762
46,17,2,23,42,7.8,199441
54,28,3,34,44,6.0,322682
30,0,2,2,39,5.1,35469
56,31,2,46,36,7.9,364625
34,8,3,6,45,7.8,80375
51,25,3,25,41,6.6,254408
35,6,3,16,46,7.6,100055
28,4,2,14,40,6.4,79486
34,12,3,18,50,5.8,141913
43,14,3,16,48,7.0,133188
60,38,2,50,44,7.7,440562
41,11,2,14,42,7.4,127879
36,7,2,6,47,7.7,119168
38,16,1,11,45,5.9,169615
44,16,2,14,44,9.2,189308
46,17,1,22,48,6.5,180367
45,15,3,10,50,6.8,163990
49,20,3,12,37,5.2,186498
35,5,4,6,38,6.7,87472
21,0,3,0,39,7.7,40272
45,23,1,28,35,8.1,245883
27,3,4,4,43,9.2,70508
29,2,3,6,46,7.7,64259
44,22,2,20,43,7.4,227747
21,0,3,4,40,6.4,44495
28,5,4,7,49,6.1,92901
44,20,3,32,44,8.4,212205
31,3,4,11,45,8.3,56925
37,11,1,6,49,5.5,115760
28,6,2,4,42,8.0,97167
55,26,2,29,53,7.9,306693
55,33,3,33,41,5.4,356657
53,28,3,13,53,7.8,298216
25,1,4,2,38,5.5,26939
59,32,2,25,46,3.6,334843
48,20,1,20,40,6.8,213074
27,2,3,8,49,7.4,63205
29,0,3,0,41,6.8,35414
28,3,2,6,44,10.0,75401
32,10,2,15,40,7.5,105759
54,26,3,36,48,7.2,314076
53,31,3,20,40,7.6,339347
43,13,2,9,51,6.4,131888
44,18,2,24,38,8.3,199152
57,29,4,19,36,7.5,329771
55,29,3,28,48,7.4,343632
60,36,2,38,40,6.1,406510
42,18,2,24,43,4.8,198893
47,21,3,24,41,6.3,225325
55,31,2,38,36,7.4,336943
21,0,1,3,43,6.4,28728
55,26,3,21,49,7.4,270046
57,36,2,40,48,6.7,407330
34,10,3,7,44,7.6,128138
23,0,1,0,49,5.6,44981
21,0,3,0,38,7.3,24755
25,0,2,5,41,6.1,22000
46,23,1,12,45,4.8,207372
34,7,1,10,42,6.8,75919
59,34,4,41,42,9.2,406211
47,23,3,31,37,5.0,260124
29,4,2,7,33,7.2,56637
35,7,3,8,47,8.1,116376
35,12,3,16,44,10.0,124198
46,19,4,23,48,6.3,207916
33,7,2,9,41,6.1,95027
52,31,3,36,39,5.4,357026
59,32,1,47,43,8.6,359161
52,25,2,39,47,5.8,287371
24,3,4,4,42,6.5,72636
50,21,3,29,47,4.4,218425
57,31,2,15,38,8.2,331509
43,21,1,29,42,8.6,231093
59,34,3,32,43,8.2,384554
35,11,3,10,49,4.8,140992
49,22,2,14,44,7.9,215426
56,28,4,23,52,4.7,312269
33,12,1,13,36,7.1,106843
52,27,2,39,44,7.3,301640
27,4,4,4,44,7.4,59695
42,21,2,32,46,7.7,227400
48,25,2,40,39,7.0,256161
22,0,3,4,51,4.3,51648
26,0,3,4,43,7.7,50825
48,20,1,10,38,7.1,203899
48,24,4,28,43,5.7,261576
40,17,3,15,41,4.8,186716
50,25,2,19,57,9.2,272321
